100 100 0 0 0 0 0 0 
100 103.276 0 0 0 0 0 0 
100 106.66 0 0 0 0 0 0 
100 110.154 0 0 0 0 0 0 
100 113.763 0 0 0 0 0 0 
100 117.49 0 0 0 0 0 0 
100 121.339 0 0 0 0 0 0 
100 125.314 0 0 0 0 0 0 
100 129.42 0 0 0 0 0 0 
100 133.66 0 0 0 0 0 0 
100 138.038 0 0 0 0 0 0 
100 142.561 0 0 0 0 0 0 
100 147.231 0 0 0 0 0 0 
100 152.055 0 0 0 0 0 0 
100 157.036 0 0 0 0 0 0 
100 162.181 0 0 0 0 0 0 
100 167.494 0 0 0 0 0 0 
100 172.982 0 0 0 0 0 0 
100 178.649 0 0 0 0 0 0 
100 184.502 0 0 0 0 0 0 
100 190.546 0 0 0 0 0 0 
100 196.789 0 0 0 0 0 0 
100 203.236 0 0 0 0 0 0 
100 209.894 0 0 0 0 0 0 
100 216.77 0 0 0 0 0 0 
100 223.872 0 0 0 0 0 0 
100 231.206 0 0 0 0 0 0 
100 238.781 0 0 0 0 0 0 
100 246.604 0 0 0 0 0 0 
100 254.683 0 0 0 0 0 0 
100 263.027 0 0 0 0 0 0 
100 271.644 0 0 0 0 0 0 
100 280.543 0 0 0 0 0 0 
100 289.734 0 0 0 0 0 0 
100 299.226 0 0 0 0 0 0 
100 309.03 0 0 0 0 0 0 
100 319.154 0 0 0 0 0 0 
100 329.61 0 0 0 0 0 0 
100 340.408 0 0 0 0 0 0 
100 351.56 0 0 0 0 0 0 
100 363.078 0 0 0 0 0 0 
100 374.973 0 0 0 0 0 0 
100 387.258 0 0 0 0 0 0 
100 399.945 0 0 0 0 0 0 
100 413.048 0 0 0 0 0 0 
100 426.58 0 0 0 0 0 0 
100 440.555 0 0 0 0 0 0 
100 454.988 0 0 0 0 0 0 
100 469.894 0 0 0 0 0 0 
100 485.289 0 0 0 0 0 0 
100 501.187 0 0 0 0 0 0 
100 517.607 0 0 0 0 0 0 
100 534.564 0 0 0 0 0 0 
100 552.077 0 0 0 0 0 0 
100 570.164 0 0 0 0 0 0 
100 588.844 0 0 0 0 0 0 
100 608.135 0 0 0 0 0 0 
100 628.058 0 0 0 0 0 0 
100 648.634 0 0 0 0 0 0 
100 669.885 0 0 0 0 0 0 
100 691.831 0 0 0 0 0 0 
100 714.496 0 0 0 0 0 0 
100 737.904 0 0 0 0 0 0 
100 762.079 0 0 0 0 0 0 
100 787.046 0 0 0 0 0 0 
100 812.831 0 0 0 0 0 0 
100 839.46 0 0 0 0 0 0 
100 866.962 0 0 0 0 0 0 
100 895.365 0 0 0 0 0 0 
100 924.698 0 0 0 0 0 0 
100 954.993 0 0 0 0 0 0 
100 986.279 0 0 0 0 0 0 
100 1018.59 0 0 0 0 0 0 
100 1051.96 0 0 0 0 0 0 
100 1086.43 0 0 0 0 0 0 
100 1122.02 0 0 0 0 0 0 
100 1158.78 0 0 0 0 0 0 
100 1196.74 0 0 0 0 0 0 
100 1235.95 0 0 0 0 0 0 
100 1276.44 0 0 0 0 0 0 
100 1318.26 0 0 0 0 0 0 
100 1361.44 0 0 0 0 0 0 
