,cos_-0.9988,cos_-0.9963,cos_-0.9937,cos_-0.9912,cos_-0.9855,cos_-0.9765,cos_-0.9675,cos_-0.9585,cos_-0.9495,cos_-0.9405,cos_-0.9315,cos_-0.9225,cos_-0.9135,cos_-0.9045,cos_-0.8775,cos_-0.8325,cos_-0.7875,cos_-0.7425,cos_-0.6975,cos_-0.6525,cos_-0.6075,cos_-0.5625,cos_-0.5175,cos_-0.4725,cos_-0.4275,cos_-0.3825,cos_-0.3375,cos_-0.2925,cos_-0.2475,cos_-0.2025,cos_-0.1575,cos_-0.1125,cos_-0.0675,cos_-0.0225
logE_4.05,1783890087580171.2,754466819705096.8,866268431817276.6,1488905684855757.8,2034979236456181.8,6805182618637947.0,4016900201851575.5,4454365555051694.5,3393515960908015.0,3767925172627094.0,4755877599111633.0,3325532913862166.5,4863510455121025.0,4792633113755216.0,2.8123832478255532e+16,2.340988502265577e+16,2.1349053361281732e+16,2.569558955718902e+16,2.4805005520633024e+16,2.618052516328589e+16,2.631136544182487e+16,2.2299048396178736e+16,2.4986992739418784e+16,2.4471054618624576e+16,1.936793662715482e+16,2.3098116908532492e+16,2.1411109507011536e+16,1.8462206289016668e+16,2.0317163763321988e+16,1.2707765676045928e+16,1.6073095585669244e+16,1.5595401485809524e+16,1.8428858060508004e+16,1.1164149632743138e+16
logE_4.15,2065628863296171.0,2492415695307748.5,1449129709872362.0,2378037242939305.5,7742986426616581.0,6442984836304138.0,7254087810977961.0,5366208634784633.0,9209497762244512.0,5899430271140449.0,5189289430978291.0,5235658201865846.0,6291519286318585.0,1.3027417778898626e+16,6.1246961001488264e+16,3.8355198528942904e+16,6.086479098827667e+16,6.215238655041809e+16,4.191150679233224e+16,3.928956481506014e+16,4.816882949968315e+16,4.390291472597735e+16,4.97144089094042e+16,3.3616503617944772e+16,3.7445112249588136e+16,2.7382799589736844e+16,2.5933744121990336e+16,3.586444481749348e+16,2.089812746725492e+16,2.1274684431519636e+16,3.4963205032343236e+16,2.5538884354844364e+16,1.615123794472452e+16,1.7515781782335776e+16
logE_4.25,6267984053464069.0,1628173649888841.0,2051740610909045.5,2475307571929212.0,1.4705321644418926e+16,9028419289818254.0,1.033011611955629e+16,3590551332361869.0,2.1103555213964396e+16,1.1595335253538414e+16,1.4447182024856824e+16,8604772937463073.0,9044516346847464.0,1.1226753886383338e+16,7.281857549321237e+16,8.776619893309197e+16,5.981718114854951e+16,5.955482948931301e+16,6.976856763875005e+16,7.641879097706309e+16,7.614214066610744e+16,5.891657915473764e+16,5.542794627335739e+16,5.705871259140039e+16,5.483990084708357e+16,6.398613911971222e+16,6.890416311360426e+16,4.878496008236154e+16,4.857636783355871e+16,3.44064091296563e+16,3.0978969200161092e+16,4.396861449498132e+16,3.784312794737048e+16,3.2961329642480708e+16
logE_4.35,9678734771133724.0,7632599171663130.0,2903128774631139.0,5300924988227363.0,1.9367822627709428e+16,1.9957346333469156e+16,1.7269274899770258e+16,1.0016541283046102e+16,2.6002005611077916e+16,1.9881401049777356e+16,3.060425222372741e+16,1.9732022391199256e+16,2.8053136429468732e+16,3.1164874870106416e+16,1.0517628348743189e+17,1.3032494007766238e+17,1.0211990633749437e+17,1.1201501577134422e+17,1.1556836603554008e+17,1.0871789904972515e+17,1.2061380683128602e+17,8.850439532715986e+16,1.0097668769207494e+17,1.1628596515142277e+17,8.647574064405638e+16,6.440393682671444e+16,8.716682372949027e+16,7.76991679068169e+16,7.553637255375808e+16,8.096227873992646e+16,6.078310916997656e+16,6.574390802309142e+16,4.630564243085695e+16,4.9130040759180456e+16
logE_4.45,1.0877716413499746e+16,7274297265667545.0,1.9806432991193096e+16,1.0550565604879452e+16,2.904809761166828e+16,3.265604796304201e+16,2.9853867634824188e+16,3.011968711610877e+16,3.1782933596578012e+16,2.68617180267002e+16,4.101870006946096e+16,1.9542347049012532e+16,4.25039908793545e+16,2.4881507536213292e+16,1.8326938844248675e+17,1.9213912207155066e+17,1.6799269581966253e+17,1.8291553734433024e+17,2.4900518045534954e+17,1.8285627837985718e+17,1.9379805685242525e+17,1.608208614053596e+17,1.6781085818328826e+17,1.511086059092342e+17,1.151305750632423e+17,1.3831545507811682e+17,1.2520706331318258e+17,1.2979569809113485e+17,8.756440199811285e+16,1.120331703346741e+17,1.3908447622815848e+17,7.88335818907311e+16,7.726391897709936e+16,1.2118063698348275e+17
logE_4.55,1.2499296043871044e+16,1.8532375823956548e+16,1.1635936911819978e+16,1.3072556620955292e+16,7.530363404943482e+16,4.2437726208106216e+16,5.1587949475574664e+16,6.0224929351407464e+16,5.484369160578616e+16,6.301035379889203e+16,4.580910029422415e+16,7.1860311473275304e+16,7.881886420020354e+16,5.057133481128947e+16,2.778516399621988e+17,3.9660850167208915e+17,3.146206460771907e+17,3.773445127005126e+17,3.220407006116035e+17,3.429428796574726e+17,3.0221947360291686e+17,3.26265181084447e+17,2.461416047904965e+17,2.2897207799098886e+17,2.3137411057514774e+17,2.7225140211581414e+17,2.275657400434377e+17,1.5673474542096438e+17,1.8578394719738902e+17,1.893361733853285e+17,1.769383715670111e+17,1.7372548311022064e+17,1.50130043779609e+17,1.2502249090855984e+17
logE_4.65,9751808905923320.0,1.495506389575385e+16,1.7574909470288076e+16,7806710355096549.0,9.02052698961513e+16,8.530747105510862e+16,6.064987728874505e+16,1.1599410755199029e+17,1.280037482102191e+17,1.0062189827224958e+17,1.3362856693806504e+17,1.1404488266035746e+17,7.56975234500276e+16,9.41155327177061e+16,3.9960080748796205e+17,4.617374249976336e+17,5.505437064511925e+17,4.356239236528075e+17,4.25399165837572e+17,4.374188945045934e+17,4.391800328263681e+17,4.517718677480191e+17,4.0290042028069005e+17,3.979412897109844e+17,3.250219522949177e+17,3.384233421227627e+17,3.146076556286195e+17,1.950422639199648e+17,3.018533106140127e+17,3.358084514564585e+17,3.429177847143158e+17,2.0894081948816064e+17,2.2094286940962778e+17,2.1240143439691808e+17
logE_4.75,4.5801798584933224e+16,6.581866862295171e+16,4.419634187208299e+16,1.0174542641061038e+16,7.646649762911032e+16,1.411646848047725e+17,1.534437018208711e+17,9.740908049249006e+16,2.1153503252816218e+17,1.2813625361734294e+17,1.451540566027699e+17,1.4817586920090886e+17,1.5152461735837757e+17,1.2599738681681056e+17,8.549026509363137e+17,8.406871019279351e+17,7.782255507977061e+17,7.427684562572613e+17,6.448698562241372e+17,6.812090283924493e+17,6.404928885587149e+17,6.173832417684004e+17,6.181386767979729e+17,6.34099998725809e+17,4.734947462405114e+17,5.211049881842089e+17,4.3021705184509357e+17,3.230953937412505e+17,5.4546938785708736e+17,4.378457390112361e+17,3.348399471825026e+17,5.094298233670248e+17,1.697347070511725e+17,3.082346730733212e+17
logE_4.85,4.0751197158688664e+16,6.2424543791898936e+16,2.227061725493981e+16,4.205968715824425e+16,2.3542825435154384e+17,1.1783583726457971e+17,3.0351498801708243e+17,1.9783631551659936e+17,2.400102521311863e+17,2.2052333707069757e+17,2.1753300047000464e+17,2.3124661211905728e+17,2.5407367723156813e+17,2.4946064211341706e+17,1.2518741731019098e+18,1.0214546435399542e+18,1.3038926154037235e+18,1.1591608449320046e+18,1.1910694923620887e+18,9.764106737742702e+17,8.767502008629166e+17,9.806237117591634e+17,9.544955179780338e+17,7.922621742881635e+17,9.284573319604736e+17,6.931436562944631e+17,7.461819649899049e+17,8.742883536345839e+17,6.018856577057228e+17,5.639411811069239e+17,4.728768348715029e+17,3.9511978626777466e+17,4.5142478795240666e+17,4.896918777228886e+17
logE_4.95,4.1447820368616e+16,9.223655722061523e+16,9.728332337529517e+16,1.6554905443657578e+17,3.2256023587752237e+17,2.0193728368126067e+17,2.4578103632542122e+17,2.9415964195020243e+17,4.462938769956495e+17,3.8634447552871123e+17,4.054483805598599e+17,2.6154459822598595e+17,3.4483209777931494e+17,3.179779938225813e+17,1.8117856916826493e+18,1.80936290281482e+18,2.2334769442584084e+18,1.5827693228003917e+18,1.6067864044489172e+18,1.9027632079831575e+18,1.8769310681479547e+18,1.3926052975081262e+18,1.245927737310936e+18,1.3927876224012285e+18,1.3007330070361664e+18,1.3378053449702405e+18,1.411260757013341e+18,1.1678129652045404e+18,1.0274662155974028e+18,9.3929096546336e+17,7.389501053267955e+17,7.627064301121773e+17,8.936347871239085e+17,5.441249101244225e+17
