E_true_center_GeV,1122.018454301963,1412.537544622755,1778.279410038923,2238.721138568338,2818.382931264455,3548.133892335753,4466.835921509635,5623.41325190349,7079.45784384138,8912.509381337459,11220.18454301963,14125.37544622755,17782.79410038923,22387.21138568337,28183.82931264455,35481.33892335753,44668.35921509634,56234.1325190349,70794.57843841387,89125.09381337458
1122.018454301963,0,0.01100917431192661,0.04709480122324159,0.08990825688073395,0.09174311926605505,0.1204892966360856,0.1376146788990826,0.1730886850152905,0.1425076452599388,0.09908256880733946,0.05504587155963303,0.01834862385321101,0.00672782874617737,0,0,0,0,0,0,0
1412.537544622755,0.00641399416909621,0.007580174927113703,0.02973760932944607,0.05306122448979592,0.09037900874635568,0.119533527696793,0.1446064139941691,0.1760932944606414,0.158600583090379,0.114868804664723,0.05539358600583091,0.02740524781341108,0.00816326530612245,0,0,0,0,0,0,0
1778.279410038923,0,0.005200208008320333,0.01508060322412897,0.0374414976599064,0.07592303692147685,0.1112844513780551,0.1549661986479459,0.1924076963078523,0.1528861154446178,0.1206448257930317,0.07748309932397296,0.03640145605824233,0.0140405616224649,0,0,0,0,0,0,0
2238.721138568338,0,0,0.00706547338671691,0.02355157795572303,0.04616109279321715,0.0993876589731512,0.138012246820537,0.1893546867640132,0.1818181818181818,0.131888836552049,0.0993876589731512,0.0551106924163919,0.01742816768723504,0.006123410268487989,0,0,0,0,0,0
2818.382931264455,0,0,0.004494382022471911,0.01842696629213483,0.04629213483146068,0.07730337078651685,0.1429213483146067,0.1851685393258427,0.181123595505618,0.1469662921348314,0.09078651685393259,0.05842696629213483,0.02831460674157303,0.01078651685393258,0.004494382022471911,0,0,0,0,0
3548.133892335753,0,0,0,0.01381096245144584,0.03366422097539922,0.05955977557186017,0.127751402675874,0.1950798446266724,0.1804056970220112,0.1501942166594735,0.1040138109624515,0.0660336642209754,0.03495899870522227,0.01769529564091498,0.009495036685369012,0,0,0,0,0
4466.835921509635,0,0,0,0.006674519042010208,0.02080879466038477,0.04868472712995681,0.1056144483706321,0.1641146446800157,0.1888496270121712,0.171181782489203,0.1256380054966627,0.07381232822928936,0.05064782096584217,0.02355712603062426,0.01099332548095799,0.00392618767177071,0,0,0,0
5623.41325190349,0,0,0,0.00463678516228748,0.01352395672333848,0.03554868624420402,0.09003091190108192,0.1460587326120557,0.1866306027820711,0.1727202472952087,0.14258114374034,0.09505409582689335,0.05216383307573415,0.03168469860896445,0.01661514683153014,0.007341576506955177,0,0,0,0
7079.457843841373,0,0,0,0,0.01221434200157604,0.0338849487785658,0.05752561071710008,0.1343577620173365,0.1670606776989756,0.177698975571316,0.1469661150512214,0.1118991331757289,0.07249802994483845,0.04334121355397951,0.02364066193853428,0.007092198581560284,0,0,0,0
8912.509381337459,0,0,0,0,0.006407840180927252,0.02223897474557105,0.05465510742555597,0.09913305691669808,0.1522804372408594,0.1726347531096872,0.1500188465887674,0.1323030531473803,0.09008669430833019,0.0603090840557859,0.03053147380324161,0.01696192989068979,0.005653976630229929,0,0,0
